fecha;mes;año;ventas
2017-04-19;4;2017;12103.459999999986
2017-04-20;4;2017;13373.139999999987
2017-04-21;4;2017;8457.709999999992
2017-04-22;4;2017;12860.179999999986
2017-04-23;4;2017;10038.94999999999
2017-04-24;4;2017;15150.029999999986
2017-04-25;4;2017;14671.739999999985
2017-04-26;4;2017;15919.749999999969
2017-04-27;4;2017;10300.70999999999
2017-04-28;4;2017;15790.489999999985
2017-04-29;4;2017;11912.629999999992
2017-04-30;4;2017;8091.159999999994
2017-05-01;5;2017;12580.269999999982
2017-05-02;5;2017;17640.19999999999
2017-05-03;5;2017;10053.559999999987
2017-05-04;5;2017;13508.549999999987
2017-05-05;5;2017;13969.759999999978
2017-05-06;5;2017;16219.97999999998
2017-05-07;5;2017;17167.869999999984
2017-05-08;5;2017;16148.409999999985
2017-05-09;5;2017;20837.050000000043
2017-05-10;5;2017;20927.490000000013
2017-05-11;5;2017;18164.550000000003
2017-05-12;5;2017;12635.709999999985
2017-05-13;5;2017;9118.64999999999
2017-05-14;5;2017;15219.69999999998
2017-05-15;5;2017;17962.02999999999
2017-05-16;5;2017;21174.880000000012
2017-05-17;5;2017;18343.92999999999
2017-05-18;5;2017;18245.129999999994
2017-05-19;5;2017;18397.669999999987
2017-05-20;5;2017;10632.409999999989
2017-05-21;5;2017;17426.199999999997
2017-05-22;5;2017;25414.200000000055
2017-05-23;5;2017;17798.379999999983
2017-05-24;5;2017;23350.96999999999
2017-05-25;5;2017;15383.789999999983
2017-05-26;5;2017;10651.179999999988
2017-05-27;5;2017;14139.509999999986
2017-05-28;5;2017;9262.619999999984
2017-05-29;5;2017;18912.860000000004
2017-05-30;5;2017;14345.479999999985
2017-05-31;5;2017;20438.15000000002
2017-06-01;6;2017;19305.249999999993
2017-06-02;6;2017;19131.329999999998
2017-06-03;6;2017;10450.349999999988
2017-06-04;6;2017;13863.229999999985
2017-06-05;6;2017;24184.550000000025
2017-06-06;6;2017;14589.149999999974
2017-06-07;6;2017;12771.659999999985
2017-06-08;6;2017;18503.079999999998
2017-06-09;6;2017;16051.349999999986
2017-06-10;6;2017;8220.349999999991
2017-06-11;6;2017;14303.559999999983
2017-06-12;6;2017;14803.109999999977
2017-06-13;6;2017;14016.08999999998
2017-06-14;6;2017;20441.67000000001
2017-06-15;6;2017;12737.669999999984
2017-06-16;6;2017;12908.22999999999
2017-06-17;6;2017;11264.769999999991
2017-06-18;6;2017;17836.160000000007
